Name,Value,Type
cb4_v0,"3981.39722, -5194.38721, 1174.98987, 1000.00",float4
cb4_v1,"-5784.41504, -14897.57617, 200.00293, 1000.00",float4
cb4_v2,"3030.21582, 1734.54395, 199.98804, 2000.00",float4
cb4_v3,"-3005.69971, 8020.19092, 199.98657, 2000.00",float4
cb4_v4,"950.25348, -1705.58972, 199.99194, 2000.00",float4
cb4_v5,"-443.30539, 1589.31348, 199.99097, 2000.00",float4
cb4_v6,"-2234.44067, -3200.98584, 199.99658, 2000.00",float4
cb4_v7,"-2360.55127, -6776.22021, 199.99658, 2000.00",float4
cb4_v8,"112.54356, -16638.74609, 199.99634, 2000.00",float4
cb4_v9,"1295.06567, -24840.26758, 199.99707, 2000.00",float4
cb4_v10,"-1293.00293, -13446.03027, 199.99585, 2000.00",float4
cb4_v11,"-4884.64893, -13208.99512, 200.00098, 2000.00",float4
cb4_v12,"-1979.07153, -19294.82031, 199.99658, 2000.00",float4
cb4_v13,"-434.56909, -6422.79639, 199.97632, 2000.00",float4
cb4_v14,"2195.47485, -3797.87524, 199.9834, 2000.00",float4
cb4_v15,"-6164.99609, 5928.26953, 200.00098, 2000.00",float4
cb4_v16,"-5586.91309, 2560.64087, 200.00, 2000.00",float4
cb4_v17,"-3564.37549, -16340.72363, 200.00073, 2000.00",float4
cb4_v18,"1529.63464, -6700.52832, 199.9812, 2000.00",float4
cb4_v19,"2561.13965, -2500.46045, 199.98364, 2000.00",float4
cb4_v20,"-5586.91309, -6790.8418, 200.00, 2000.00",float4
cb4_v21,"-814.50952, -21590.79492, 199.99707, 2000.00",float4
cb4_v22,"-5586.91309, -10580.25586, 200.00098, 2000.00",float4
cb4_v23,"-1351.32996, -9134.50293, 199.97632, 2000.00",float4
cb4_v24,"4629.23682, -4396.05078, 199.98987, 2000.00",float4
cb4_v25,"-7490.38965, 9872.14453, 200.00098, 2000.00",float4
cb4_v26,"212.10072, -5063.84668, 199.98999, 2000.00",float4
cb4_v27,"3963.31763, -3783.04517, 199.98901, 2000.00",float4
cb4_v28,"-5586.91309, -3407.67676, 199.99951, 2000.00",float4
cb4_v29,"3166.4043, -1522.73108, 199.9939, 2000.00",float4
cb4_v30,"-2477.51489, 5316.64258, 199.98828, 2000.00",float4
cb4_v31,"-4217.20947, 10820.13867, 199.98071, 2000.00",float4
cb4_v32,"-754.86279, -1678.96582, 199.99194, 2000.00",float4
cb4_v33,"-2355.80444, 3215.16406, 199.99634, 2000.00",float4
cb4_v34,"-2298.09937, -5005.77197, 199.99658, 2000.00",float4
cb4_v35,"-1809.16858, -10390.10742, 199.99658, 2000.00",float4
cb4_v36,"-1150.00, -8200.00, 350.00, 3000.00",float4
cb4_v37,"15531.42383, -39443.65625, 74.99338, 3000.00",float4
cb4_v38,"6170.62207, -40199.59766, 143.06693, 3000.00",float4
cb4_v39,"14824.20117, -35716.10547, 74.99338, 3000.00",float4
cb4_v40,"9072.6123, -42593.05078, 143.06693, 3000.00",float4
cb4_v41,"6673.55225, -36478.08594, -80.03833, 3140.06372",float4
cb4_v42,"11513.28516, -33773.72266, -80.06754, 3140.06372",float4
cb4_v43,"6455.63721, -27472.08203, 199.99707, 4000.00",float4
cb4_v44,"3778.38525, -29210.1582, 199.99707, 4000.00",float4
cb4_v45,"-3768.06885, -0.00974, 2176.32104, 6000.00",float4
cb4_v46,"6676.59668, -31125.41211, 199.99805, 6000.00",float4
cb4_v47,"10864.72949, -38270.42969, 169.78882, 7686.9043",float4
cb4_v48,"304.68842, -402.21902, 973.07031, 56384.00",float4
cb4_v49,"0.00, 0.00, 0.00, 1.00",float4
cb4_v50,"0.00, 0.00, 0.00, 1.00",float4
cb4_v51,"0.00, 0.00, 0.00, 1.00",float4
cb4_v52,"0.00, 0.00, 0.00, 1.00",float4
cb4_v53,"0.00, 0.00, 0.00, 1.00",float4
cb4_v54,"0.00, 0.00, 0.00, 1.00",float4
cb4_v55,"0.00, 0.00, 0.00, 1.00",float4
cb4_v56,"0.00, 0.00, 0.00, 1.00",float4
cb4_v57,"0.00, 0.00, 0.00, 1.00",float4
cb4_v58,"0.00, 0.00, 0.00, 1.00",float4
cb4_v59,"0.00, 0.00, 0.00, 1.00",float4
cb4_v60,"0.00, 0.00, 0.00, 1.00",float4
cb4_v61,"0.00, 0.00, 0.00, 1.00",float4
